# target_key=vie_Latn  lang_code=vi
# Σ_target=1,002,288,154  marg_total=87,843,958,530  marg_keys=87
# alpha=0.5  delta=1.0  min_count=100
# variant=B (rate test only — no char mask)
# 1,598 tokens, sorted by count desc
{46109: ' vẫn'}
{18679: 'ánh'}
{62508: ' cảm'}
{32055: ' loại'}
{35169: 'ẻ'}
{5012: 'ân'}
{45429: ' tâm'}
{29630: 'ồng'}
{16783: 'ống'}
{36959: ' thức'}
{38464: ' toàn'}
{47454: ' trọng'}
{46725: ' tư'}
{48463: ' chất'}
{30812: ' tính'}
{34611: ' cấp'}
{41729: ' báo'}
{45911: ' quả'}
{12966: 'ật'}
{27023: ' vị'}
{30788: ' lực'}
{43567: 'ưng'}
{34605: ' thị'}
{35576: ' lần'}
{71261: ' ấy'}
{9372: 'ụ'}
{12433: 'ốc'}
{52550: ' quá'}
{12380: 'ài'}
{8010: 'ị'}
{30388: ' chức'}
{45780: ' bảo'}
{10760: 'ết'}
{30271: ' thống'}
{40914: ' tới'}
{37156: ' liên'}
{42394: ' ảnh'}
{39869: ' Mỹ'}
{26404: ' quốc'}
{42931: ' nghiệp'}
{45673: ' đất'}
{43046: 'ầm'}
{51369: ' bất'}
{29792: 'ắng'}
{63111: ' vậy'}
{75406: ' tốt'}
{37695: ' sĩ'}
{53978: ' nay'}
{26211: ' Quốc'}
{47847: ' án'}
{57073: 'ớ'}
{83716: ' trẻ'}
{35898: ' tập'}
{43395: ' triển'}
{38520: ' tài'}
{34318: ' bắt'}
{15271: 'êm'}
{36539: ' bao'}
{42922: ' pháp'}
{39297: ' hóa'}
{3571: ' Ph'}
{63883: ' giúp'}
{2797: 'ô'}
{56872: ' tiền'}
{47697: ' bài'}
{44798: ' tiêu'}
{18861: 'úc'}
{56962: ' giờ'}
{30580: ' đại'}
{33510: ' hệ'}
{13941: 'ây'}
{69064: ' giảm'}
{26353: ' dự'}
{42767: ' nhau'}
{56549: ' yêu'}
{39053: ' hiệu'}
{32803: ' xe'}
{68301: ' cái'}
{12004: 'ường'}
{2114: 'ê'}
{55977: ' tìm'}
{27663: ' Trung'}
{54130: 'ẳng'}
{33992: ' vật'}
{45469: ' phẩm'}
{40678: ' phương'}
{15736: 'ĩ'}
{12594: 'ổ'}
{20699: 'êu'}
{66730: ' tuổi'}
{51490: ' cứu'}
{63547: ' vấn'}
{63610: ' gây'}
{3599: 'ế'}
{36858: ' trung'}
{10826: 'ận'}
{70345: ' muốn'}
{43114: ' dịch'}
{36060: 'ắn'}
{36045: 'ạch'}
{50466: ' đưa'}
{76815: ' nếu'}
{52588: ' thương'}
{66013: ' chứng'}
{57951: ' sáng'}
{16965: ' quân'}
{43057: ' biệt'}
{22127: 'ắt'}
{30560: ' thủ'}
{40498: ' đổi'}
{43053: ' kỳ'}
{13367: 'ùng'}
{47558: ' phòng'}
{48837: ' bên'}
{33046: ' đánh'}
{33367: 'ếu'}
{63669: ' câu'}
{35656: ' thi'}
{51852: 'Nh'}
{31468: ' quyền'}
{43920: ' tay'}
{30888: ' tiên'}
{43531: 'ờ'}
{11296: 'ải'}
{66178: ' lời'}
{46476: ' khoảng'}
{15293: 'ái'}
{71873: ' chưa'}
{48711: ' dẫn'}
{38694: ' tiếng'}
{23307: ' Anh'}
{36043: 'iểu'}
{25393: ' đội'}
{4785: 'ì'}
{27259: ' tổ'}
{55112: ' gần'}
{47629: ' đều'}
{4434: 'ủ'}
{9926: 'àn'}
{58878: ' thêm'}
{19867: 'ấn'}
{46494: ' nghĩa'}
{41895: ' tích'}
{58240: ' viết'}
{2814: 'Ch'}
{50504: ' quyết'}
{10675: 'ầu'}
{42941: ' vực'}
{42425: ' hoạt'}
{22026: 'ẽ'}
{52163: ' bà'}
{32270: ' máy'}
{27243: 'ệt'}
{17520: 'ỉ'}
{58210: ' mạnh'}
{7640: 'ám'}
{44597: ' chế'}
{61353: 'ấm'}
{18703: ' quy'}
{31211: ' diễn'}
{50416: ' bình'}
{33422: ' xã'}
{3661: 'ộ'}
{47973: ' dùng'}
{40114: ' tranh'}
{42246: ' giữa'}
{39173: ' địa'}
{28463: ' lập'}
{6497: 'ại'}
{16817: 'ăng'}
{38987: ' chuyển'}
{46246: ' điện'}
{2438: 'Th'}
{7673: 'ất'}
{46832: ' sách'}
{42461: ' thay'}
{51377: ' nơi'}
{49602: ' bỏ'}
{45877: ' đặc'}
{18462: 'ỏ'}
{52403: ' ngoài'}
{63799: ' thích'}
{98965: ' khó'}
{64817: ' cảnh'}
{49271: ' tục'}
{6353: None}
{5568: None}
{77725: ' sao'}
{19714: 'âu'}
{42749: 'ời'}
{9998: 'ần'}
{47326: ' biến'}
{15671: 'ợ'}
{3422: 'ò'}
{13241: 'iện'}
{55571: ' hoàn'}
{57345: ' thân'}
{61509: 'ừng'}
{22383: 'ấy'}
{12528: 'ước'}
{37448: ' tham'}
{9108: 'áng'}
{73471: ' sức'}
{52568: 'ề'}
{17723: 'ảng'}
{24635: 'ơi'}
{76683: ' mọi'}
{41293: ' thiết'}
{102704: ' mẹ'}
{115009: ' hỏi'}
{126549: 'ãy'}
{9116: 'ứ'}
{18732: ' mang'}
{31204: 'ỗ'}
{15309: 'ôn'}
{55638: ' dài'}
{48700: ' liệu'}
{5767: 'ơ'}
{42978: 'ẹ'}
{60436: ' triệu'}
{49730: ' trang'}
{19301: 'ào'}
{10022: 'inh'}
{34018: ' đấu'}
{47199: ' sát'}
{41745: ' phố'}
{50899: ' ứng'}
{55623: ' phụ'}
{19009: 'âm'}
{51202: ' bố'}
{5739: 'uy'}
{40740: ' trí'}
{49946: ' giao'}
{32025: ' tên'}
{66501: ' cáo'}
{61657: ' đình'}
{58992: ' nhỏ'}
{45520: ' thuật'}
{63514: ' kiến'}
{20621: 'ăn'}
{81619: ' mức'}
{3805: 'ạ'}
{42285: ' đạo'}
{33064: ' bởi'}
{102492: ' chuyện'}
{8954: ' má'}
{36705: 'ồi'}
{69071: ' khiến'}
{25476: 'úng'}
{41440: ' phân'}
{54963: ' xác'}
{15261: 'ền'}
{39954: ' gọi'}
{48878: ' nguyên'}
{64545: ' tượng'}
{81182: ' rồi'}
{46609: 'ẩn'}
{42039: ' truyền'}
{39064: ' Trong'}
{37903: ' giáo'}
{60596: ' lúc'}
{11262: 'ách'}
{35131: ' cá'}
{8915: 'ữ'}
{64136: ' mỗi'}
{44676: ' đơn'}
{87064: ' cây'}
{58314: ' hướng'}
{53856: ' cung'}
{41583: ' Nguyễn'}
{35718: ' thuộc'}
{18396: 'út'}
{39481: ' nữ'}
{96567: 'ẹp'}
{60567: ' lịch'}
{6963: 'ột'}
{70919: ' xem'}
{76729: ' doanh'}
{67025: ' hết'}
{60815: ' đời'}
{66377: ' từng'}
{81953: 'ắm'}
{60778: ' tất'}
{58256: ' hạn'}
{42475: ' tử'}
{34040: ' giả'}
{46273: ' Hà'}
{39152: 'ôm'}
{58817: ' chọn'}
{2775: 'ư'}
{43258: ' cuối'}
{70530: ' khách'}
{68787: ' mất'}
{21782: ' bay'}
{32205: ' trận'}
{20443: 'ạt'}
{50287: ' dưới'}
{52717: ' bán'}
{109163: ' nhìn'}
{68774: 'ắp'}
{33346: ' gồm'}
{49196: ' tương'}
{66169: ' kể'}
{30547: 'ốn'}
{22175: None}
{119699: ' vừa'}
{58798: ' vệ'}
{118367: 'Theo'}
{74303: ' màu'}
{56973: ' dựng'}
{54133: ' đặt'}
{47232: ' vùng'}
{77099: ' mắt'}
{37751: ' phía'}
{73632: ' gặp'}
{7502: 'ăm'}
{85692: ' đủ'}
{4248: 'ả'}
{63044: ' ít'}
{38332: ' nguy'}
{11477: 'ản'}
{22532: 'ấu'}
{3821: 'Tr'}
{28983: 'ưa'}
{67753: ' khả'}
{15339: 'ơn'}
{69769: ' chí'}
{52526: ' phục'}
{87177: ' trả'}
{57149: ' yếu'}
{22967: 'ạc'}
{13720: ' chi'}
{43608: ' Tuy'}
{57171: ' bàn'}
{54295: ' sở'}
{50972: ' vô'}
{74265: ' lợi'}
{6256: None}
{68331: 'Trong'}
{48066: 'ọc'}
{51555: ' biểu'}
{44703: ' tiến'}
{13545: 'ũ'}
{59975: ' chung'}
{80054: ' rõ'}
{8149: 'ọ'}
{2113: 'ã'}
{77215: ' luận'}
{78391: ' nghiệm'}
{28853: ' giữ'}
{34543: ' Các'}
{76220: ' ngay'}
{47021: 'óc'}
{56109: ' khí'}
{9948: 'ười'}
{61127: ' xây'}
{13374: 'ể'}
{50246: ' trưởng'}
{79943: ' nữa'}
{6563: 'ệ'}
{66503: ' áp'}
{39595: 'ốt'}
{63363: ' bóng'}
{68519: ' cố'}
{48479: ' chiếc'}
{85276: 'ậm'}
{53433: ' tiết'}
{68566: ' hưởng'}
{20156: 'òn'}
{21724: 'ấp'}
{61413: ' kiện'}
{99813: ' trạng'}
{16138: 'áo'}
{21340: 'ảo'}
{49832: ' diện'}
{20730: 'anh'}
{75867: ' nghiên'}
{75216: ' kiểm'}
{61733: ' nghệ'}
{95243: ' mua'}
{64412: ' cổ'}
{55787: ' dù'}
{47169: ' mục'}
{74509: ' nguồn'}
{37104: ' bé'}
{10652: 'ến'}
{70810: ' nội'}
{76919: ' xuống'}
{7878: 'ở'}
{45267: ' kế'}
{60631: ' đoạn'}
{20606: ' đồ'}
{50362: ' chơi'}
{55101: ' trợ'}
{77899: ' nghi'}
{45090: ' Công'}
{79285: ' tỷ'}
{57765: ' mở'}
{58503: ' nổi'}
{48686: ' tỉnh'}
{57307: ' thần'}
{57204: ' hộ'}
{64668: ' Nga'}
{35405: 'ạm'}
{13132: ' ty'}
{18255: 'ục'}
{103270: ' xét'}
{50393: ' Một'}
{10160: ' ai'}
{83240: ' tưởng'}
{34620: 'ạnh'}
{31424: ' huy'}
{59470: ' minh'}
{84869: ' đáng'}
{89476: ' chuyên'}
{62783: ' chết'}
{65756: ' khai'}
{35011: 'ậu'}
{119391: ' dễ'}
{48760: ' Văn'}
{59262: ' chống'}
{47588: 'ồn'}
{1754: 'è'}
{65860: ' luật'}
{60772: ' biển'}
{53904: ' mùa'}
{53042: 'ảy'}
{103502: ' xảy'}
{18581: ' Ng'}
{96593: ' chân'}
{11803: ' ban'}
{52075: ' nhập'}
{64611: ' khỏi'}
{13750: 'iều'}
{27379: ' kho'}
{64150: ' thư'}
{39183: ' cứ'}
{130621: ' thật'}
{28949: 'ứng'}
{20011: None}
{19195: 'ực'}
{68503: ' tinh'}
{46834: ' nhiệm'}
{106419: ' luôn'}
{12831: 'ập'}
{1589: None}
{69670: ' tuần'}
{113643: ' hoa'}
{47363: ' duy'}
{6811: 'ược'}
{67380: ' lấy'}
{96119: ' lòng'}
{84740: ' cụ'}
{30515: 'úa'}
{50090: ' tổng'}
{76621: ' Nội'}
{60379: ' phản'}
{82413: ' nhanh'}
{72214: ' mạng'}
{67771: ' sắc'}
{14917: 'ức'}
{10934: 'ính'}
{85431: ' tố'}
{27606: ' tuy'}
{19645: 'ạo'}
{24312: 'ặt'}
{64076: ' đá'}
{65320: ' chia'}
{9907: 'áp'}
{126632: ' đúng'}
{18040: 'ặc'}
{74707: ' chữ'}
{93992: ' phạm'}
{50794: ' Bộ'}
{78126: ' chị'}
{44754: ' phủ'}
{47720: ' danh'}
{72060: ' độc'}
{61241: ' rộng'}
{29615: 'ừ'}
{83317: 'Các'}
{55114: ' viện'}
{113607: ' thơ'}
{101082: 'ưỡng'}
{43201: ' thắng'}
{38915: ' Đức'}
{51371: ' nhóm'}
{8631: ' Gi'}
{60043: ' trò'}
{64395: ' lưu'}
{87520: 'ỗi'}
{35629: 'ẩm'}
{59503: 'ửa'}
{21286: ' đo'}
{120782: ' vợ'}
{69617: ' quản'}
{104507: 'Một'}
{111092: ' đầy'}
{86808: ' cửa'}
{108798: ' càng'}
{8336: 'ày'}
{76409: ' Khi'}
{44472: ' ghi'}
{85831: 'áu'}
{101145: ' hồi'}
{71393: ' giống'}
{73397: ' thanh'}
{29286: ' Sau'}
{84828: ' tối'}
{68358: ' đạt'}
{78022: 'ới'}
{109972: ' trái'}
{17474: 'ện'}
{57140: ' tho'}
{85868: ' hoạch'}
{86603: ' khoa'}
{84242: ' gái'}
{34379: ' phim'}
{72694: ' dung'}
{40542: ' Hoa'}
{12985: 'ích'}
{32577: 'ưu'}
{93984: ' xử'}
{57335: ' kỷ'}
{8063: 'ự'}
{45634: 'ói'}
{69558: ' đô'}
{56813: 'iển'}
{41109: ' Tây'}
{67405: ' lệ'}
{70911: 'ãi'}
{74251: ' nghị'}
{46328: ' Bắc'}
{50901: ' mô'}
{61026: ' ký'}
{71017: ' Những'}
{53565: ' phong'}
{107127: ' thiếu'}
{101060: ' Điều'}
{42966: ' TP'}
{47604: ' tấn'}
{53897: ' vòng'}
{38069: ' tàu'}
{46594: ' Đông'}
{23674: 'iểm'}
{60083: ' đóng'}
{57438: ' sân'}
{62655: ' cộng'}
{10981: ' sang'}
{73169: ' nằm'}
{105167: ' phí'}
{56751: ' chương'}
{53484: ' hậu'}
{87906: ' cực'}
{124248: ' vọng'}
{93809: ' vài'}
{60947: ' trực'}
{45722: ' vận'}
{79870: ' riêng'}
{74550: ' hỗ'}
{103202: ' đàn'}
{44829: 'ọn'}
{90277: ' chú'}
{89383: ' lớp'}
{45772: ' xa'}
{59585: ' phép'}
{65304: ' lãnh'}
{94341: ' chịu'}
{97305: ' cạnh'}
{63709: ' phá'}
{30105: ' đoàn'}
{12664: 'iến'}
{78095: ' hữu'}
{65060: ' Ông'}
{84274: ' kỹ'}
{111154: ' đảm'}
{49338: 'ậy'}
{15112: ' Kh'}
{73514: ' chuẩn'}
{58646: ' đảo'}
{128185: ' nghe'}
{87034: ' Người'}
{14307: 'ộc'}
{35874: ' Có'}
{16011: 'ội'}
{117911: ' căn'}
{83264: ' suy'}
{53970: ' hòa'}
{87095: ' dục'}
{9005: 'ình'}
{47144: ' âm'}
{104117: ' phút'}
{82176: ' nền'}
{38759: ' Đại'}
{4497: 'ố'}
{36149: 'Ng'}
{17198: ' ô'}
{118079: ' sâu'}
{74457: ' đông'}
{47750: ' Pháp'}
{112707: ' dấu'}
{29613: 'iệu'}
{58183: ' đứ'}
{77798: 'ầy'}
{104160: ' lâu'}
{83464: ' đứng'}
{49059: 'iếu'}
{95135: ' kéo'}
{45507: ' Kỳ'}
{66711: 'ựa'}
{60276: ' Tổng'}
{104803: ' tội'}
{18069: 'ũng'}
{91520: ' vàng'}
{21873: 'iệt'}
{128437: ' bước'}
{83869: ' chạy'}
{41219: ' cử'}
{89555: ' thấp'}
{88426: ' cải'}
{129573: 'iềm'}
{40004: ' chu'}
{49028: ' Thái'}
{54765: ' Bình'}
{107256: ' quanh'}
{109907: ' vốn'}
{89018: ' tức'}
{6996: 'Ph'}
{9531: 'ươ'}
{25353: 'ẫn'}
{40009: 'ưới'}
{126324: ' nạn'}
{120979: ' nhiễ'}
{40146: ' nhạc'}
{54769: ' châu'}
{79993: ' Không'}
{74440: ' thúc'}
{127430: ' nhu'}
{99706: ' đôi'}
{66441: ' kích'}
{65075: ' dạng'}
{98735: ' hại'}
{23553: ' lá'}
{106258: 'ỏng'}
{113275: ' sơ'}
{127318: ' thiện'}
{102095: ' tù'}
{34948: 'iền'}
{82322: ' tiểu'}
{12760: 'ững'}
{9498: ' Á'}
{27794: 'ổi'}
{100831: ' nặng'}
{120504: ' lao'}
{90031: ' chấp'}
{8312: 'ành'}
{57492: 'ặng'}
{108466: ' hồ'}
{111207: ' chiều'}
{114056: ' bức'}
{126336: ' môi'}
{75435: ' tuyến'}
{78565: ' ngoại'}
{127812: 'èo'}
{77182: ' tuyên'}
{70418: ' Nhà'}
{35706: 'ảnh'}
{84679: ' cư'}
{40657: ' Minh'}
{15370: 'ằng'}
{111309: ' xin'}
{19924: 'ễn'}
{48938: ' Nhật'}
{107480: ' kiếm'}
{72148: ' ngữ'}
{77736: ' đa'}
{66304: ' sông'}
{89155: ' buộc'}
{65134: 'àm'}
{80074: ' ngôi'}
{49040: ' Hoàng'}
{27344: ' mã'}
{13264: 'ử'}
{78028: 'Sau'}
{128016: ' khá'}
{27216: ' già'}
{107602: 'ẵ'}
{89466: ' lộ'}
{100708: ' dành'}
{111554: ' ngành'}
{108735: ' nông'}
{35551: 'ệnh'}
{104270: 'iệc'}
{73176: ' trai'}
{87645: ' mặc'}
{89340: ' giai'}
{110141: ' trách'}
{88506: ' nhằm'}
{90161: ' cân'}
{119931: ' đêm'}
{68970: ' sư'}
{21168: ' dụ'}
{111865: ' đăng'}
{124198: ' tỏ'}
{77540: ' vũ'}
{105640: ' mối'}
{122165: ' khoản'}
{103122: ' thử'}
{81837: ' thái'}
{107836: 'ặn'}
{87782: ' bổ'}
{62282: 'ạy'}
{111164: ' môn'}
{70464: ' thuyết'}
{78982: ' lễ'}
{121279: ' gửi'}
{14098: None}
{86019: ' hạ'}
{123156: ' Đây'}
{23937: ' Lan'}
{18433: 'ượng'}
{69836: ' tộc'}
{5685: 'ượ'}
{96499: ' vượt'}
{123924: ' xuyên'}
{12263: None}
{30091: 'óa'}
{51782: 'ợi'}
{20117: 'òng'}
{45208: 'ổng'}
{74883: ' khẩu'}
{49531: ' Liên'}
{104997: ' suất'}
{117550: ' góp'}
{93326: ' lửa'}
{59997: 'Kh'}
{61095: ' Ngh'}
{78885: ' thất'}
{54624: ' Thanh'}
{100113: ' thuận'}
{123108: ' đẩy'}
{33239: 'ỹ'}
{96364: ' hạt'}
{94579: ' tuyển'}
{107159: ' soát'}
{79588: ' Nó'}
{11538: 'ồ'}
{85810: ' dòng'}
{18962: ' xu'}
{83141: ' miền'}
{83628: ' nhiệt'}
{111426: ' niệm'}
{56776: ' Dương'}
{95306: ' buổi'}
{70302: ' Hội'}
{109962: ' ngắn'}
{86268: ' phóng'}
{48919: ' Theo'}
{122258: ' tòa'}
{29957: ' sai'}
{56980: ' Hải'}
{59918: ' huyện'}
{100317: ' chứa'}
{1821: None}
{55104: ' lã'}
{72673: ' coi'}
{88273: ' cánh'}
{47453: ' hát'}
{72519: ' lạc'}
{115164: ' xung'}
{18257: 'iên'}
{4151: None}
{42007: ' USD'}
{64784: ' quay'}
{105373: 'ãn'}
{58230: 'ạp'}
{125867: 'ỡ'}
{65905: ' Chính'}
{76799: ' Âu'}
{62008: ' gh'}
{82554: ' niên'}
{116857: ' tín'}
{96583: ' Thị'}
{13143: 'èn'}
{28681: 'ướng'}
{10032: 'ép'}
{121150: ' thoại'}
{107091: ' hôn'}
{93835: ' phổ'}
{68714: ' Trần'}
{89027: ' toán'}
{108153: ' trì'}
{50078: ' tướng'}
{78690: 'ảm'}
{85314: ' tịch'}
{58470: ' Bản'}
{86782: ' tả'}
{64116: ' Lê'}
{74652: ' giành'}
{121872: ' kẻ'}
{83033: ' bầu'}
{124221: ' ngăn'}
{96445: ' mẫu'}
{116277: ' khảo'}
{60454: ' Sơn'}
{115464: ' Họ'}
{106767: ' ngôn'}
{89365: ' luyện'}
{119976: ' đột'}
{49853: ' Thành'}
{86264: ' biên'}
{4887: 'ấ'}
{98851: ' thiên'}
{47242: ' mong'}
{58665: ' Thu'}
{103657: ' tái'}
{88282: ' đốc'}
{42794: ' sung'}
{62189: ' chiếm'}
{117924: ' quần'}
{94843: ' gốc'}
{84636: ' tải'}
{80383: ' Hồ'}
{25339: 'éo'}
{100187: ' khởi'}
{128088: ' chỉnh'}
{39328: 'ùa'}
{62399: ' quen'}
{91618: ' tồn'}
{123197: ' thăm'}
{92619: ' Thế'}
{73757: 'ìn'}
{33614: ' đổ'}
{107833: ' lĩnh'}
{74720: 'ủng'}
{84221: ' hầu'}
{119880: ' tầng'}
{10153: 'ướ'}
{116142: ' cập'}
{69490: 'uyên'}
{89086: ' giám'}
{125400: ' bào'}
{53980: 'Có'}
{127224: ' chóng'}
{92886: ' Chủ'}
{91397: ' tốc'}
{90821: ' thủy'}
{104455: ' nối'}
{72421: 'ẫu'}
{125657: ' nâng'}
{68314: None}
{28360: 'iệp'}
{85242: ' Trường'}
{46726: ' phi'}
{125313: ' dần'}
{68849: ' xếp'}
{51505: 'ĩnh'}
{105974: 'ãng'}
{130549: ' bày'}
{121091: ' thừa'}
{91940: ' kê'}
{48557: ' binh'}
{81994: ' Đồng'}
{112811: ' đích'}
{53684: None}
{6586: ' Lu'}
{111027: ' chuyến'}
{94227: ' ước'}
{107779: ' cũ'}
{121354: ' suốt'}
{129420: ' khối'}
{115541: 'iếp'}
{88340: ' Từ'}
{101761: ' cận'}
{26634: 'ộng'}
{102921: ' dữ'}
{95832: ' rút'}
{70758: ' bại'}
{55593: 'ặp'}
{110953: ' đu'}
{116482: ' lược'}
{6999: 'ND'}
{124236: ' đào'}
{78461: 'ứa'}
{63112: 'êng'}
{14486: 'óm'}
{20251: ' Ban'}
{9595: ' Long'}
{99059: ' mật'}
{57718: ' Năm'}
{112792: ' làng'}
{117326: ' mại'}
{56939: ' cà'}
{90833: ' dựa'}
{113159: ' Ngoài'}
{103898: ' thưởng'}
{103940: ' trao'}
{16437: 'ễ'}
{1492: None}
{36350: ' ngo'}
{61609: ' món'}
{63578: ' Châu'}
{19726: ' Hu'}
{99774: ' cấu'}
{116597: ' thí'}
{27192: 'ởi'}
{64662: ' hoàng'}
{6740: 'ườ'}
{119207: ' chá'}
{96351: ' núi'}
{43185: ' tụ'}
{92168: ' tôn'}
{72493: ' bảng'}
{129793: 'ựu'}
{37048: ' tú'}
{115204: ' băng'}
{25717: ' Ukraine'}
{79733: ' phiên'}
{103166: ' phận'}
{77089: ' loài'}
{77244: ' địch'}
{48232: ' ung'}
{34254: 'iết'}
{108579: ' phối'}
{56334: ' hạng'}
{119216: ' quận'}
{81998: ' Nguyên'}
{101712: ' trúc'}
{91272: ' Cô'}
{96530: ' lục'}
{89938: ' giết'}
{64764: ' lệnh'}
{123279: ' truyện'}
{107359: ' quê'}
{47599: 'ỏi'}
{123319: ' tạp'}
{82854: ' cú'}
{116162: 'ỷ'}
{24278: 'ịch'}
{121762: ' sửa'}
{113128: ' rời'}
{92253: ' Kinh'}
{122987: ' Thủ'}
{99540: ' Độ'}
{12015: '.H'}
{62849: ' Hai'}
{106263: ' loạt'}
{121937: ' trụ'}
{71394: ' Cộng'}
{120213: ' trừ'}
{102408: ' thập'}
{84317: ' bắn'}
{60849: ' vua'}
{124425: ' nổ'}
{107598: ' Ngọc'}
{102940: ' Ấn'}
{80303: ' Vũ'}
{89662: ' Thiên'}
{28302: 'iệm'}
{102425: ' Xuân'}
{121799: ' đảng'}
{97334: ' thổ'}
{100623: ' bốn'}
{106261: ' Sự'}
{116238: ' kịch'}
{114746: ' súng'}
{94088: ' sóng'}
{112769: ' Chí'}
{125678: ' Ở'}
{54497: ' bí'}
{102759: ' hải'}
{85078: ' Hồng'}
{100692: ' xo'}
{104958: ' linh'}
{77370: 'iếm'}
{80154: ' Đảng'}
{42435: 'Gi'}
{93578: ' Giáo'}
{87131: ' Kho'}
{115683: ' bờ'}
{109503: ' ủng'}
{33942: 'óng'}
{10888: ' Cu'}
{122778: ' rau'}
{67242: 'Ngày'}
{6616: 'iế'}
{125812: ' đương'}
{99027: ' thờ'}
{21235: 'ẫ'}
