run_tag,iter,tokens,greekmmlu_acc,n
curr_td_replay0.35_20260611T181235Z,952,3992977408,0.537,16632
curr_td_replay0.35_20260611T181235Z,1190,4991221760,0.5492,16632
curr_td_replay0.35_20260611T181235Z,1428,5989466112,0.5234,16632
curr_td_replay0.35_20260611T181235Z,1666,6987710464,0.5437,16632
curr_td_replay0.35_20260611T181235Z,1904,7985954816,0.5417,16632
curr_td_replay0.35_20260611T181235Z,2142,8984199168,0.543,16632
curr_td_replay0.35_20260611T181235Z,2261,9483321344,0.537,16632
curr_td_replay0.35_20260611T181235Z,2380,9982443520,0.5542,16632
curr_td_replay0.35_20260611T181235Z,2618,10980687872,0.5575,16632
curr_td_replay0.35_20260611T181235Z,3094,12977176576,0.5583,16632
curr_td_replay0.35_20260611T181235Z,3218,13497270272,0.5633,16632
curr_vanilla_r0.35_20260611T181233Z,238,998244352,0.5296,16632
curr_vanilla_r0.35_20260611T181233Z,476,1996488704,0.5094,16632
curr_vanilla_r0.35_20260611T181233Z,714,2994733056,0.5221,16632
curr_vanilla_r0.35_20260611T181233Z,952,3992977408,0.5228,16632
curr_vanilla_r0.35_20260611T181233Z,1190,4991221760,0.5354,16632
curr_vanilla_r0.35_20260611T181233Z,1428,5989466112,0.5338,16632
curr_vanilla_r0.35_20260611T181233Z,1666,6987710464,0.5274,16632
curr_vanilla_r0.35_20260611T181233Z,1904,7985954816,0.548,16632
curr_vanilla_r0.35_20260611T181233Z,2142,8984199168,0.5293,16632
curr_vanilla_r0.35_20260611T181233Z,2261,9483321344,0.5417,16632
curr_vanilla_r0.35_20260611T181233Z,2380,9982443520,0.5648,16632
curr_vanilla_r0.35_20260611T181233Z,2618,10980687872,0.5518,16632
curr_vanilla_r0.35_20260611T181233Z,2856,11978932224,0.5421,16632
curr_vanilla_r0.35_20260611T181233Z,3094,12977176576,0.5417,16632
curr_vanilla_r0.35_20260611T181233Z,3218,13497270272,0.5461,16632
